product_label,stage_label,users_label,features_label,auth_label,payment_label,schedule_label,plan,description,cost,weeks,priority,tech,first_scope,reason,comment
"業務効率化ツール","運用中","100人未満","3個以下","必要","必要","最短での開始を希望","業務システム開発","1業務に絞って効果を検証する社内システム","40万円〜100万円","4〜8週間","高","Next.js / Supabase / Stripe / Vercel","業務データ登録 / ログイン・権限管理 / 一覧・検索","業務効率化ツールを、3個以下の機能範囲で検討しているため。ログイン・権限管理が必要なため。決済と決済後の運用設計が必要なため。","現場フローの整理が成功の鍵です。最初は1業務に絞って小さく作り、効果を測りながら横展開する構成がおすすめです。"
"業務効率化ツール","運用中","100人未満","3個以下","必要","必要","1ヶ月以内","業務システム開発","1業務に絞って効果を検証する社内システム","40万円〜100万円","4〜8週間","高","Next.js / Supabase / Stripe / Vercel","業務データ登録 / ログイン・権限管理 / 一覧・検索","業務効率化ツールを、3個以下の機能範囲で検討しているため。ログイン・権限管理が必要なため。決済と決済後の運用設計が必要なため。","現場フローの整理が成功の鍵です。最初は1業務に絞って小さく作り、効果を測りながら横展開する構成がおすすめです。"
"業務効率化ツール","運用中","100人未満","3個以下","必要","必要","3ヶ月以内","業務システム開発","1業務に絞って効果を検証する社内システム","40万円〜100万円","4〜8週間","高","Next.js / Supabase / Stripe / Vercel","業務データ登録 / ログイン・権限管理 / 一覧・検索","業務効率化ツールを、3個以下の機能範囲で検討しているため。ログイン・権限管理が必要なため。決済と決済後の運用設計が必要なため。","現場フローの整理が成功の鍵です。最初は1業務に絞って小さく作り、効果を測りながら横展開する構成がおすすめです。"
"業務効率化ツール","運用中","100人未満","3個以下","必要","必要","時期は未定","業務システム開発","1業務に絞って効果を検証する社内システム","40万円〜100万円","4〜8週間","中","Next.js / Supabase / Stripe / Vercel","業務データ登録 / ログイン・権限管理 / 一覧・検索","業務効率化ツールを、3個以下の機能範囲で検討しているため。ログイン・権限管理が必要なため。決済と決済後の運用設計が必要なため。","現場フローの整理が成功の鍵です。最初は1業務に絞って小さく作り、効果を測りながら横展開する構成がおすすめです。"
"業務効率化ツール","運用中","100人未満","3個以下","必要","不要","最短での開始を希望","業務システム開発","1業務に絞って効果を検証する社内システム","30万円〜75万円","3〜6週間","高","Next.js / Supabase / Vercel","業務データ登録 / ログイン・権限管理 / 一覧・検索","業務効率化ツールを、3個以下の機能範囲で検討しているため。ログイン・権限管理が必要なため。","現場フローの整理が成功の鍵です。最初は1業務に絞って小さく作り、効果を測りながら横展開する構成がおすすめです。"
"業務効率化ツール","運用中","100人未満","3個以下","必要","不要","1ヶ月以内","業務システム開発","1業務に絞って効果を検証する社内システム","30万円〜75万円","3〜6週間","高","Next.js / Supabase / Vercel","業務データ登録 / ログイン・権限管理 / 一覧・検索","業務効率化ツールを、3個以下の機能範囲で検討しているため。ログイン・権限管理が必要なため。","現場フローの整理が成功の鍵です。最初は1業務に絞って小さく作り、効果を測りながら横展開する構成がおすすめです。"
"業務効率化ツール","運用中","100人未満","3個以下","必要","不要","3ヶ月以内","業務システム開発","1業務に絞って効果を検証する社内システム","30万円〜75万円","3〜6週間","高","Next.js / Supabase / Vercel","業務データ登録 / ログイン・権限管理 / 一覧・検索","業務効率化ツールを、3個以下の機能範囲で検討しているため。ログイン・権限管理が必要なため。","現場フローの整理が成功の鍵です。最初は1業務に絞って小さく作り、効果を測りながら横展開する構成がおすすめです。"
"業務効率化ツール","運用中","100人未満","3個以下","必要","不要","時期は未定","業務システム開発","1業務に絞って効果を検証する社内システム","30万円〜75万円","3〜6週間","中","Next.js / Supabase / Vercel","業務データ登録 / ログイン・権限管理 / 一覧・検索","業務効率化ツールを、3個以下の機能範囲で検討しているため。ログイン・権限管理が必要なため。","現場フローの整理が成功の鍵です。最初は1業務に絞って小さく作り、効果を測りながら横展開する構成がおすすめです。"
"業務効率化ツール","運用中","100人未満","3個以下","不要","必要","最短での開始を希望","業務システム開発","1業務に絞って効果を検証する社内システム","40万円〜90万円","4〜7週間","高","Next.js / Supabase / Stripe / Vercel","業務データ登録 / 一覧・検索 / ステータス管理","業務効率化ツールを、3個以下の機能範囲で検討しているため。決済と決済後の運用設計が必要なため。","現場フローの整理が成功の鍵です。最初は1業務に絞って小さく作り、効果を測りながら横展開する構成がおすすめです。"
"業務効率化ツール","運用中","100人未満","3個以下","不要","必要","1ヶ月以内","業務システム開発","1業務に絞って効果を検証する社内システム","40万円〜90万円","4〜7週間","高","Next.js / Supabase / Stripe / Vercel","業務データ登録 / 一覧・検索 / ステータス管理","業務効率化ツールを、3個以下の機能範囲で検討しているため。決済と決済後の運用設計が必要なため。","現場フローの整理が成功の鍵です。最初は1業務に絞って小さく作り、効果を測りながら横展開する構成がおすすめです。"
"業務効率化ツール","運用中","100人未満","3個以下","不要","必要","3ヶ月以内","業務システム開発","1業務に絞って効果を検証する社内システム","40万円〜90万円","4〜7週間","高","Next.js / Supabase / Stripe / Vercel","業務データ登録 / 一覧・検索 / ステータス管理","業務効率化ツールを、3個以下の機能範囲で検討しているため。決済と決済後の運用設計が必要なため。","現場フローの整理が成功の鍵です。最初は1業務に絞って小さく作り、効果を測りながら横展開する構成がおすすめです。"
"業務効率化ツール","運用中","100人未満","3個以下","不要","必要","時期は未定","業務システム開発","1業務に絞って効果を検証する社内システム","40万円〜90万円","4〜7週間","中","Next.js / Supabase / Stripe / Vercel","業務データ登録 / 一覧・検索 / ステータス管理","業務効率化ツールを、3個以下の機能範囲で検討しているため。決済と決済後の運用設計が必要なため。","現場フローの整理が成功の鍵です。最初は1業務に絞って小さく作り、効果を測りながら横展開する構成がおすすめです。"
"業務効率化ツール","運用中","100人未満","3個以下","不要","不要","最短での開始を希望","業務システム開発","1業務に絞って効果を検証する社内システム","30万円〜65万円","3〜5週間","高","Next.js / Supabase / Vercel","業務データ登録 / 一覧・検索 / ステータス管理","業務効率化ツールを、3個以下の機能範囲で検討しているため。","現場フローの整理が成功の鍵です。最初は1業務に絞って小さく作り、効果を測りながら横展開する構成がおすすめです。"
